Lead Month,Revenue Month,Revenue,Platform,Campaign,Ad Name,Aff_param,profile_id
2025-01-01,2025-Feb,116.24,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990002541
2025-01-01,2025-Mar,1040.78,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002798
2025-01-01,2025-Mar,91.25,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002706
2025-01-01,2025-Mar,124.37,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002705
2025-01-01,2025-Mar,179.7,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002704
2025-01-01,2025-Mar,45.28,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002700
2025-01-01,2025-Mar,589.11,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002385
2025-01-01,2025-Mar,98.15,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002277
2025-01-01,2025-Mar,134.67,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002273
2025-01-01,2025-Mar,72.13,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002273
2025-01-01,2025-Mar,102.02,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002899
2025-01-01,2025-Mar,207.15,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002034
2025-01-01,2025-Mar,91.2,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001929
2025-01-01,2025-Mar,151.08,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001927
2025-01-01,2025-Mar,107.08,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001926
2025-01-01,2025-Mar,54.38,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001925
2025-01-01,2025-Mar,42.98,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001828
2025-01-01,2025-Mar,202.19,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001825
2025-01-01,2025-Mar,92.05,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001623
2025-01-01,2025-Mar,77.9,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001518
2025-01-01,2025-Mar,239.99,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001516
2025-01-01,2025-Mar,96.01,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002033
2025-01-01,2025-Mar,80.09,Google Search,Brand Search,Brand Core RSA,AFF-1201,990002904
2025-01-01,2025-Mar,72.29,Google Search,Brand Search,Brand Core RSA,AFF-1201,990003014
2025-01-01,2025-Mar,80.29,Google Search,Brand Search,Brand Core RSA,AFF-1201,990003125
2025-01-01,2025-Mar,84.93,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001033
2025-01-01,2025-Mar,96.25,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001031
2025-01-01,2025-Mar,181.66,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000932
2025-01-01,2025-Mar,51.83,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000928
2025-01-01,2025-Mar,89.49,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000739
2025-01-01,2025-Mar,186.89,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000739
2025-01-01,2025-Mar,122.05,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000648
2025-01-01,2025-Mar,111.5,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000539
2025-01-01,2025-Mar,52.16,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000537
2025-01-01,2025-Mar,65.08,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000535
2025-01-01,2025-Mar,141.09,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000340
2025-01-01,2025-Mar,157.66,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000249
2025-01-01,2025-Mar,76.69,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000247
2025-01-01,2025-Mar,108.53,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000154
2025-01-01,2025-Mar,97.77,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000152
2025-01-01,2025-Mar,176.1,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000147
2025-01-01,2025-Mar,1595.43,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000144
2025-01-01,2025-Mar,136.78,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000141
2025-01-01,2025-Mar,97.01,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000038
2025-01-01,2025-Mar,129.22,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000033
2025-01-01,2025-Mar,120.74,Google Search,Brand Search,Brand Core RSA,AFF-1201,990003130
2025-01-01,2025-Mar,159.06,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001515
2025-01-01,2025-Mar,104.5,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990001200
2025-01-01,2025-Mar,179.11,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001510
2025-01-01,2025-Mar,144.36,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001390
2025-01-01,2025-Mar,95.43,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000011
2025-01-01,2025-Mar,83.79,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000011
2025-01-01,2025-Mar,103.25,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990003158
2025-01-01,2025-Mar,120.54,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990003151
2025-01-01,2025-Mar,132.76,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990003052
2025-01-01,2025-Mar,89.33,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990002735
2025-01-01,2025-Mar,67.55,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990002735
2025-01-01,2025-Mar,63.68,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990002641
2025-01-01,2025-Mar,135.25,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990002068
