lead_day,Platform,Campaign,Ad Name,Aff_param,Cost
2025-01-01,Bing,Brand Search,Bing Brand Exact,AFF-3201,741.06
2025-01-01,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,760.08
2025-01-01,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1132.45
2025-01-01,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,862.45
2025-01-01,Google Display,Prospecting Display,In-Market Display A,AFF-2201,446.65
2025-01-01,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,317.86
2025-01-01,Google Search,Brand Search,Brand Core RSA,AFF-1201,1570.63
2025-01-01,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1862.02
2025-01-01,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,397.21
2025-01-01,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,776.38
2025-01-01,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,58.13
2025-01-01,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,196.24
2025-01-01,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,346.02
2025-01-01,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,217.89
2025-01-02,Bing,Brand Search,Bing Brand Exact,AFF-3201,366.04
2025-01-02,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,694.45
2025-01-02,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,697.51
2025-01-02,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,789.38
2025-01-02,Google Display,Prospecting Display,In-Market Display A,AFF-2201,183.56
2025-01-02,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,101.63
2025-01-02,Google Search,Brand Search,Brand Core RSA,AFF-1201,906.9
2025-01-02,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1640.23
2025-01-02,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,646.09
2025-01-02,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,782.64
2025-01-02,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,341.97
2025-01-02,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,109.45
2025-01-02,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,226.79
2025-01-02,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,144.94
2025-01-03,Bing,Brand Search,Bing Brand Exact,AFF-3201,412.21
2025-01-03,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,228.21
2025-01-03,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,941.66
2025-01-03,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,917.42
2025-01-03,Google Display,Prospecting Display,In-Market Display A,AFF-2201,382.04
2025-01-03,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,144.81
2025-01-03,Google Search,Brand Search,Brand Core RSA,AFF-1201,1347.57
2025-01-03,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1413.11
2025-01-03,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,255.75
2025-01-03,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,599.64
2025-01-03,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,171.89
2025-01-03,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,144.3
2025-01-03,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,268.26
2025-01-04,Bing,Brand Search,Bing Brand Exact,AFF-3201,510.89
2025-01-04,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,325.21
2025-01-04,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1367.35
2025-01-04,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,797.15
2025-01-04,Google Display,Prospecting Display,In-Market Display A,AFF-2201,376.43
2025-01-04,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,129.87
2025-01-04,Google Search,Brand Search,Brand Core RSA,AFF-1201,1168.73
2025-01-04,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,995.94
2025-01-04,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,857.39
2025-01-04,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,250.94
2025-01-04,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,59.24
2025-01-04,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,167.99
2025-01-04,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,286.88
2025-01-04,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,221.1
2025-01-05,Bing,Brand Search,Bing Brand Exact,AFF-3201,289.46
2025-01-05,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,329.38
2025-01-05,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1129.97
2025-01-05,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,854.98
2025-01-05,Google Display,Prospecting Display,In-Market Display A,AFF-2201,548.46
2025-01-05,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,226.49
2025-01-05,Google Search,Brand Search,Brand Core RSA,AFF-1201,504.34
2025-01-05,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1972.07
2025-01-05,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,423.31
2025-01-05,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,128.55
2025-01-05,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,51.77
2025-01-05,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,48.97
2025-01-05,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,148.48
2025-01-05,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,211.33
2025-01-06,Bing,Brand Search,Bing Brand Exact,AFF-3201,761.39
2025-01-06,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,299.73
2025-01-06,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,595.97
2025-01-06,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1272.38
2025-01-06,Google Display,Prospecting Display,In-Market Display A,AFF-2201,750.52
2025-01-06,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,301.26
2025-01-06,Google Search,Brand Search,Brand Core RSA,AFF-1201,1896.67
2025-01-06,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1287.79
2025-01-06,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,621.39
2025-01-06,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,698.15
2025-01-06,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,119.05
2025-01-06,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,162.13
2025-01-06,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,68.31
2025-01-06,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,303.21
2025-01-07,Bing,Brand Search,Bing Brand Exact,AFF-3201,309.96
2025-01-07,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,569.35
2025-01-07,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,926.86
2025-01-07,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,376.6
2025-01-07,Google Display,Prospecting Display,In-Market Display A,AFF-2201,449.58
2025-01-07,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,279.64
2025-01-07,Google Search,Brand Search,Brand Core RSA,AFF-1201,929.34
2025-01-07,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1307.03
2025-01-07,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,387.47
2025-01-07,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,381.66
2025-01-07,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,53.57
2025-01-07,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,203.93
2025-01-07,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,156.68
