Revenue Date,Revenue,Platform,Campaign,Ad Name,Aff_param,profile_id
2025-01-03,70.68,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,990000127
2025-01-05,72.42,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000010
2025-01-06,74.41,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990000544
2025-01-06,134.19,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990000053
2025-01-06,78.26,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990000501
2025-01-07,145.94,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990000066
2025-01-07,105.25,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000587
2025-01-07,106.56,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000337
2025-01-08,101.95,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000010
2025-01-09,31.8,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990000258
2025-01-09,125.1,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000128
2025-01-09,87.03,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000835
2025-01-10,124.21,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,990000038
2025-01-11,143.38,Bing,Brand Search,Bing Brand Exact,AFF-3201,990000355
2025-01-11,61.78,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990000350
2025-01-11,169.32,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,990001089
2025-01-11,110.54,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,990000704
2025-01-12,101.85,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,990000574
2025-01-12,66.66,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990001163
2025-01-12,184.5,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000719
2025-01-13,172.86,Bing,Brand Search,Bing Brand Exact,AFF-3201,990001238
2025-01-13,59.85,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,990000603
2025-01-13,76.0,Google Display,Prospecting Display,In-Market Display A,AFF-2201,990001044
2025-01-13,55.12,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,990001051
2025-01-13,165.49,Google Search,Brand Search,Brand Core RSA,AFF-1201,990000008
2025-01-13,118.52,Google Search,Brand Search,Brand Core RSA,AFF-1201,990001114
2025-01-13,155.53,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,990000999
2025-01-14,61.97,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000277
2025-01-14,72.5,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990000982
